,hashtags,tweet
0,"['covid19', 'influenza', 'greenpass', 'supergreenpass']","['covid19', 'era', 'normal', 'influenza', 'season', 'lot', 'peopl', 'icu', 'death', 'well', '13ish', 'italian', 'contaminatedfew', 'year', 'ago', 'time', 'talk', 'lockdown', 'restrict', 'greenpass', 'supergreenpass', 'today', '']"
1,"['greenpass', 'novaccinepassports', 'novaccinemandates', 'pasaportecovid', 'vacunacovid19', 'greenpassobbligatorio', 'passaportesanitarionao', 'nogreenpass', 'vaccinationobligatoire', 'catnoalpasscovid']","['brussel', 'march', 'greenpass', 'novaccinepassport', 'novaccinemand', 'pasaportecovid', 'vacunacovid19', 'greenpassobbligatorio', 'passaportesanitarionao', 'nogreenpass', 'vaccinationobligatoir', 'catnoalpasscovid']"
2,"['apartheid', 'greenpass', 'nazicovidism']","['itali', 'tomorrow', 'go', 'creat', 'even', 'apartheid', 'discrimin', 'base', 'differ', 'level', 'greenpass', 'vaccin', 'peopl', 'natur', 'immun', 'other', 'it’', 'nazicovid']"
3,"['fjb', 'papersplease', 'greenpass']","['histori', 'back', 'fjb', 'paperspleas', 'greenpass', 'httpstcoio3bb0jchz']"
4,"['christians', 'greenpass']","['least', 'day', 'think', 'myriad', 'italian', 'christian', 'ran', 'get', 'beauti', 'greenpass', 'enjoy', 'everi', 'day', 'hurt', 'could', 'easili', 'cooper', 'govt', 'marginalis', 'good', 'chunk', 'brother', 'well', 'fellow', 'human']"
5,"['italy', 'covid19', 'greenpass', 'vaccine']","['itali', 'one', 'europe’', 'highest', 'vaccin', 'rate', 'crack', 'small', 'minor', 'far', 'refus', 'shot', 'itali', 'covid19', 'greenpass', 'vaccin', 'httpstcoh2sswyo4i3']"
6,"['c19', 'covid19', 'israel', 'greenpass', 'restrictions', 'vaccinemandate', 'forcedvaccine', 'vaccinepassports']","['basicli', 'c19', 'covid19', 'israel', 'right', 'yet', 'greenpass', 'restrict', 'vaccinemand', 'forcedvaccin', 'vaccinepassport', 'httpstcoe2h7fe7vxl']"
7,"['qrcode', 'greenpass']","['big', 'lie', 'step', 'step', 'reveal', 'share', 'fight', 'back', 'insan', 'covid', 'measur', 'freedom', 'gone', 'qrcode', 'greenpass', 'refus', 'unsaf', 'mrna', 'inject']"
8,['greenpass'],"['greenpass', 'applic', 'violat', 'safeti', 'secur', 'privaci', 'absolut', 'risk', 'httpstcokzu91o2ci6']"
9,"['greenpass', 'soldierofgods']","['ggreenwald', 'sunday', 'lockdown', 'come', 'soon', 'world', 'near', 'issu', 'pontifex', 'save', 'mother', 'earth', 'aka', 'gnostic', 'sophia', 'aka', 'pagan', '☀️', 'worldwid', 'greenpass', 'aka', 'httpstcovhbafdklz5', 'goal', '🎯', 'look', 'germani', 'amp', 'austria', 'also', 'australia', 'amp', 'new', 'zealand', '🔥🔥🔥🔥', 'soldierofgod']"
10,"['belgrade', 'freedom', 'greenpass', 'gp']","['belgrad', 'highway', 'freedom', 'greenpass', 'gp', 'httpstcoffc7nxqrxn']"
11,"['digital', 'digitalpassport', 'greenpass', 'greenpassrafforzato']","['kamvtv', 'even', 'digit', 'futur', 'oh', 'wait', 'alreadi', 'digitalpassport', 'greenpass', 'greenpassrafforzato', 'f']"
12,['greenpass'],"['largescal', 'demonstr', 'brussel', 'greenpass', 'compulsori', 'vaccin', 'firefight', 'nurs', 'escal', 'tear', 'ga', 'water', 'cannon', 'use', 'start', '13']"
13,"['airborne', 'certificates', 'greenpass']","['giraudsylvain', 'advic', 'airborn', 'pandem', 'wear', 'wellfit', 'ffp2', 'mask', 'skyriakideseu', 'sandragallina', 'sure', 'work', 'eucouncil', 'even', 'certif', 'greenpass', 'minor', 'glitch']"
14,"['vaccines', '2g', 'greenpass', 'greencertificate']","['vaccin', 'give', 'fals', 'sen', 'secur', 'mean', 'dichotom', 'amp', 'discriminatori', 'polici', 'model', 'transmiss', 'control', '2g', 'greenpass', 'greencertif', 'may', 'de', 'facto', 'acceler', 'viral', 'transmiss']"
15,"['greenpass', 'novaccinepassports', 'novaccinemandates', 'pasaportecovid', 'vacunacovid19', 'greenpassobbligatorio', 'passaportesanitarionao', 'nogreenpass', 'vaccinationobligatoire']","['merg', 'greenpass', 'data', 'account', 'control', 'life', 'amp', 'decid', 'novaccinepassport', 'novaccinemand', 'pasaportecovid', 'vacunacovid19', 'greenpassobbligatorio', 'passaportesanitarionao', 'nogreenpass', 'vaccinationobligatoir']"
16,"['cyprus', 'greenpass']","['limassol', 'cypru', 'say', 'greenpass', 'httpstcoyigq72sceq']"
17,"['brussels', 'greenpass']","['freedom', 'march', '2', 'brussel', 'protest', 'anti', '‘greenpass’', '‘cst’', 'belgium', 'full', 'httpstcofilamyjkwo', 'via', 'youtub']"
18,"['covid19', 'greenpass', 'covidvaccine']","['unvaccin', 'tyranni', 'vaccin', 'covid19', 'greenpass', 'covidvaccin', 'httpstcodebwqns83b']"
19,"['vaccinepassports', 'greenpass', 'novaccinepassports', 'nopasaportecovid']","['peopl', 'protest', 'barcelona', 'vaccinepassport', 'greenpass', 'novaccinepassport', 'nopasaportecovid']"
